"Metric","Detail1","Detail2","Detail3","Detail4","Data Date (MM/DD/YYYY)","GeographicLevel","GeographicName","Value_NUMBER","Units","MOST RECENT (1)","COVID Team","Source"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Northwest",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","South Central",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Southeast",11,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Southwest",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","West Central",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"State","Minnesota",287,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Central",42,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Metro",138,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Northeast",23,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Northwest",11,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","South Central",13,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Southeast",35,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Southwest",19,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","West Central",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"State","Minnesota",6656,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Central",556,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Metro",3914,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Northeast",606,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Northwest",168,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","South Central",181,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Southeast",998,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Southwest",128,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","West Central",105,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"State","Minnesota",1009,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Central",85,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Metro",678,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Northeast",58,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Northwest",12,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","South Central",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Southeast",160,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Southwest",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","West Central",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"State","Minnesota",64,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Central",3,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Metro",52,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Northeast",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Northwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","South Central",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Southeast",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Southwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","West Central",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"State","Minnesota",127,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Central",11,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Metro",80,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Northeast",8,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Northwest",3,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","South Central",13,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Southeast",10,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","Southwest",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-01,"Regional Health Care","West Central",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"State","Minnesota",5789,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Central",519,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Metro",3566,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Northeast",287,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Northwest",120,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","South Central",188,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Southeast",927,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","Southwest",117,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-01,"Regional Health Care","West Central",65,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"State","Minnesota",1012,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Central",81,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Metro",653,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Northeast",82,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Northwest",36,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","South Central",7,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Southeast",144,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Southwest",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","West Central",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"State","Minnesota",62,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Central",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Metro",47,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Northeast",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Northwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","South Central",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Southeast",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Southwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","West Central",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"State","Minnesota",143,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Central",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Metro",97,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Northeast",11,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Northwest",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","South Central",11,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Southeast",12,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","Southwest",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-02,"Regional Health Care","West Central",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"State","Minnesota",5972,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Central",518,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Metro",3452,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Northeast",608,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Northwest",198,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","South Central",181,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Southeast",865,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","Southwest",112,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-02,"Regional Health Care","West Central",38,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"State","Minnesota",925,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Central",77,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Metro",629,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Northeast",68,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Northwest",10,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","South Central",8,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Southeast",125,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Southwest",3,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","West Central",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"State","Minnesota",79,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Central",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Metro",62,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Northeast",3,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Northwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","South Central",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Southeast",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Southwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","West Central",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"State","Minnesota",192,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Central",10,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Metro",141,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Northeast",12,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Northwest",3,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","South Central",10,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Southeast",14,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","Southwest",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-03,"Regional Health Care","West Central",1,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"State","Minnesota",5857,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Central",486,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Metro",3548,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Northeast",459,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Northwest",116,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","South Central",200,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Southeast",854,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","Southwest",128,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-03,"Regional Health Care","West Central",66,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"State","Minnesota",970,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Central",88,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Metro",646,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Northeast",73,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Northwest",11,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","South Central",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Southeast",141,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Southwest",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","West Central",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"State","Minnesota",92,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Central",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Metro",74,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Northeast",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Northwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","South Central",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Southeast",7,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Southwest",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","West Central",0,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"State","Minnesota",194,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Central",9,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Metro",145,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Northeast",10,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Northwest",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","South Central",9,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Southeast",13,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","Southwest",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","COVID+",,2020-08-04,"Regional Health Care","West Central",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"State","Minnesota",6322,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Central",566,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Metro",3703,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Northeast",590,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Northwest",129,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","South Central",201,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Southeast",931,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","Southwest",132,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","Non-ICU","IN USE","non-COVID+",,2020-08-04,"Regional Health Care","West Central",70,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"State","Minnesota",975,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","Central",86,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","Metro",632,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","Northeast",75,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","Northwest",15,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","South Central",6,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","Southeast",156,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","Southwest",2,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-08-05,"Regional Health Care","West Central",3,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-08-05,"State","Minnesota",90,"patients",0,"Hospital Surge Capacity","Teletracking"
